"defteam","plays_faced","avg_epa_allowed","success_rate_allowed","pass_rate_faced","rush_rate_faced","avg_yards_allowed","avg_cpoe_allowed","avg_air_yards_allowed","avg_yac_allowed","pass_epa_allowed","rush_epa_allowed","pass_success_allowed","rush_success_allowed","PRWR","PRWR_Rank","RSWR","RSWR_Rank","Man Rate","Zone Rate","Middle Closed Rate","Middle Open Rate"
"HOU",982,-0.131434350971209,0.382892057026477,0.634419551934827,0.365580448065173,4.80957230142566,-4.55910553789045,8.10634328358209,4.96551724137931,-0.186091892464323,-0.0498642129053431,0.370748299319728,0.401015228426396,0.35,21,0.32,6,20.1,74.7,53,42.6
"SEA",1062,-0.117228999170846,0.396421845574388,0.653483992467043,0.346516007532957,4.5894538606403,-1.89409153357796,6.64833333333333,5.28,-0.0994930642605019,-0.1453216843938,0.411674347158218,0.372262773722628,0.41,7,0.32,3,15.2,80.4,44.3,52.4
"JAX",1030,-0.105372809934647,0.412621359223301,0.685436893203883,0.314563106796116,5.02718446601942,-1.54277952723816,7.9794952681388,4.2979797979798,-0.140388267511382,-0.0399260911770148,0.423248882265276,0.392757660167131,0.38,14,0.28,31,17.6,78.6,45.9,51.5
"MIN",1017,-0.0994587308710355,0.410029498525074,0.517207472959685,0.482792527040315,4.73746312684366,-4.44578984905692,6.76905829596413,5.32616487455197,-0.14807673155592,-0.0531736476854259,0.387096774193548,0.431861804222649,0.46,1,0.3,20,15.8,77.1,30.3,64.2
"CLE",994,-0.095838880607259,0.402414486921529,0.567404426559356,0.432595573440644,4.87022132796781,0.507321322968403,7.50927835051546,5.34415584415584,-0.13150700903724,-0.0534142344570612,0.422222222222222,0.378854625550661,0.46,2,0.34,2,43.4,52.9,63,35.9
"DEN",1055,-0.0879184467577138,0.366824644549763,0.658767772511848,0.341232227488152,4.48625592417062,-3.29672285296895,8.78231292517007,4.533527696793,-0.115124863322268,-0.0428256958774204,0.357142857142857,0.382871536523929,0.45,3,0.32,4,32.1,63.1,48.8,48.5
"LAC",955,-0.0829787293846786,0.413612565445026,0.615706806282723,0.384293193717277,5.09214659685864,-4.9059664756989,7.56772908366534,5.84364820846906,-0.0915471509412883,-0.071392366245322,0.415300546448087,0.411330049261084,0.37,16,0.3,18,12.9,81.3,41.6,53.9
"PHI",1066,-0.0789880378529742,0.417448405253283,0.589118198874296,0.410881801125704,5.0234521575985,-5.73075787249597,8.23420074349442,5.14886731391586,-0.124405581761079,-0.0243743796824846,0.395189003436426,0.444214876033058,0.35,20,0.3,17,24.5,69.1,52,44.8
"LA",1068,-0.0608829200422405,0.420411985018727,0.620786516853933,0.379213483146067,5.2247191011236,-0.586337054557834,7.81367521367521,4.49071618037135,-0.0746010933668868,-0.0406867204254001,0.435534591194969,0.398148148148148,0.4,8,0.34,1,15,79.8,49.9,46.1
"NO",1029,-0.0590598302309999,0.417881438289602,0.549076773566569,0.450923226433431,4.977648202138,-0.169819813229774,7.97119341563786,5.17307692307692,-0.0460654308987702,-0.0729153042177751,0.427495291902072,0.407630522088353,0.35,22,0.31,8,15.5,77.9,61,35.8
"NE",966,-0.0471225806242849,0.446169772256729,0.611801242236025,0.388198757763975,5.20496894409938,3.08643954826397,7.37333333333333,4.67428571428571,-0.057030006685143,-0.0333404681336851,0.444839857651246,0.448019801980198,0.35,19,0.31,10,28.1,67.1,51.8,45.2
"KC",977,-0.020259058647173,0.436028659160696,0.595701125895599,0.404298874104401,5.26202661207779,2.2789309790105,6.73477406679764,5.45882352941176,-0.00234034165873114,-0.0427712573578251,0.446691176470588,0.422632794457275,0.4,10,0.28,30,19.8,74.1,42.1,53.8
"BUF",950,-0.0163064476566462,0.424210526315789,0.563157894736842,0.436842105263158,5.25473684210526,-2.50065948028083,7.57543103448276,4.75090252707581,-0.113647322609521,0.0941590396494247,0.394059405940594,0.458426966292135,0.31,27,0.3,22,23.9,70.4,42.5,53.4
"DET",1040,-0.00990850672838457,0.417307692307692,0.615384615384615,0.384615384615385,5.44711538461539,-1.09707552439241,9.87747747747748,4.2953216374269,-0.00647597910918503,-0.0147586443620099,0.417077175697865,0.417633410672854,0.32,26,0.28,29,32,63,57.5,40.4
"ATL",1047,-0.00373859684011761,0.44603629417383,0.601719197707736,0.398280802292264,5.31805157593123,-2.15837719393711,8.68560606060606,4.90332326283988,-0.0285882406323187,0.0283430001782601,0.442372881355932,0.450765864332604,0.41,6,0.31,9,18.7,76.8,59.9,36.4
"IND",1101,0.00426832201739791,0.455040871934605,0.631244323342416,0.368755676657584,5.41507720254314,-0.402360566483692,7.89228295819936,4.91183879093199,0.0398139877749688,-0.0497415682870118,0.463855421686747,0.441647597254005,0.29,30,0.29,25,26.7,65.7,48.7,45.4
"TB",990,0.0132785271203963,0.448484848484848,0.65050505050505,0.349494949494949,5.8010101010101,2.46222751177643,7.94316163410302,5.66754617414248,0.0680302526281042,-0.0723951573528048,0.486754966887417,0.38860103626943,0.4,11,0.3,19,22.4,73,50.4,47.3
"PIT",1104,0.0177304918590389,0.432971014492754,0.623188405797101,0.376811594202899,5.51721014492754,-0.315214323568834,6.86019736842105,5.17929292929293,0.0283422705225523,0.00189666410151681,0.450832072617247,0.406320541760722,0.41,4,0.29,27,31.1,64.5,56.1,41.3
"CHI",1022,0.0180927717996319,0.466731898238748,0.584148727984344,0.415851272015656,6.02837573385519,4.01446466801666,8.30754716981132,4.71267605633803,0.0312506671278638,0.00149985069987055,0.475438596491228,0.455752212389381,0.29,31,0.29,26,29.1,66,49,46.1
"BAL",1076,0.0241383491222923,0.441449814126394,0.647769516728624,0.352230483271375,5.62081784386617,2.41741885825313,8.23274478330658,4.83959899749373,0.0726957968054947,-0.0520006559561418,0.453576864535769,0.422434367541766,0.3,28,0.3,14,30.7,62.7,58.4,36.8
"LV",1054,0.0242580059129991,0.449715370018975,0.563567362428843,0.436432637571158,5.146110056926,1.9318936862955,7.52975047984645,4.74094707520891,0.0769064863590876,-0.0358811119949312,0.47153024911032,0.42479674796748,0.37,17,0.3,15,14.6,78.6,54.1,41.9
"GB",1056,0.0332228763265222,0.447916666666667,0.579545454545455,0.420454545454545,5.02840909090909,2.76789610000218,7.18899082568807,4.20277777777778,0.0759310954908314,-0.0194174868294869,0.44082332761578,0.456659619450317,0.39,12,0.29,24,17,78.4,47.9,49.3
"CAR",998,0.0672927544774727,0.442885771543086,0.564128256513026,0.435871743486974,5.59318637274549,1.53846365592808,7.4950495049505,5.12202380952381,0.10566275123233,0.0229559331732644,0.471028037383178,0.41036717062635,0.34,24,0.26,32,11.3,83.1,54,41.7
"SF",1019,0.0704357729036119,0.484789008832188,0.621197252208047,0.378802747791953,5.68891069676153,2.4577283838079,7.75862068965517,4.63819095477387,0.112151634400942,0.00996782943512678,0.482587064676617,0.487980769230769,0.29,29,0.31,11,17.5,76.1,57.5,38.4
"NYG",1032,0.0873944900871493,0.469961240310078,0.604651162790698,0.395348837209302,5.95251937984496,0.663149478196195,7.87020109689214,4.88795518207283,0.0278586376925422,0.166551639207744,0.451612903225806,0.494356659142212,0.41,5,0.28,28,29.7,63.6,58.3,37.5
"MIA",1016,0.0882065192967821,0.485236220472441,0.583661417322835,0.416338582677165,5.83661417322835,7.12660344010855,7.32879377431907,5.43935309973046,0.12556486959995,0.0432306311877626,0.50990990990991,0.455531453362256,0.34,23,0.3,21,22.5,71.7,45.2,51.6
"ARI",1053,0.0884416702799805,0.485280151946819,0.58974358974359,0.41025641025641,5.81671415004748,0.952147269645592,7.82862190812721,5.04266666666667,0.149901007636354,0.00797845887262245,0.512562814070352,0.449561403508772,0.39,13,0.3,12,15.1,74.7,41.8,51.5
"TEN",991,0.100420802041628,0.451059535822402,0.60343087790111,0.39656912209889,5.94450050454087,6.10847670106927,7.75097276264591,5.64689265536723,0.167350829876806,0.0141691726374023,0.485663082437276,0.406466512702079,0.37,15,0.3,16,18,75,46.5,48.5
"CIN",1035,0.129817422024959,0.478260869565217,0.589371980676328,0.410628019323671,6.27632850241546,0.925170675415815,7.5046904315197,7.02873563218391,0.1647043263019,0.0868854773220856,0.492119089316988,0.461206896551724,0.29,32,0.29,23,26.6,67.7,55,41.2
"WAS",1072,0.142486647787034,0.475746268656716,0.576492537313433,0.423507462686567,6.10914179104478,2.19718553416897,7.92207792207792,6.37142857142857,0.200873697377865,0.0728759117717896,0.485420240137221,0.464212678936605,0.36,18,0.31,7,23.4,70.3,45.3,49.5
"NYJ",1053,0.147220407712549,0.455840455840456,0.54985754985755,0.45014245014245,5.76638176638177,1.54102319916008,7.29182879377432,6.11011904761905,0.253383850284545,0.0346165214620181,0.476014760147601,0.434442270058708,0.33,25,0.3,13,30.9,62.5,48.3,48.6
"DAL",1027,0.167387848928691,0.488802336903603,0.618305744888023,0.381694255111977,6.26582278481013,6.93359639431011,7.78880866425993,5.71653543307087,0.220590097537749,0.0946944539398168,0.500843170320405,0.472350230414747,0.4,9,0.32,5,21.1,72.2,53.2,43.1
