"rusher_player_id","rusher_player_name","posteam","position","rushing_plays","avg_rushing_epa","rushing_success_rate","rushing_yards","avg_yards_per_rush","rushing_touchdowns","targets","receptions","avg_receiving_epa","receiving_success_rate","receiving_yards","avg_air_yards","avg_yac","receiving_touchdowns"
"00-0040556","C.Kiner","ARI","RB",12,0.157321925473904,0.5,58,4.83333333333333,0,0,0,0,0,0,0,0,0
"00-0039603","B.Brooks","HOU","RB",17,0.127724144675325,0.470588235294118,78,4.58823529411765,0,0,0,0,0,0,0,0,0
"00-0038555","T.Bigsby","PHI","RB",62,0.125448387580447,0.5,363,5.85483870967742,2,0,0,0,0,0,0,0,0
"00-0039757","T.Jennings","NE","RB",23,0.104000306177034,0.347826086956522,73,3.17391304347826,1,0,0,0,0,0,0,0,0
"00-0039373","A.Estime","NO","RB",46,0.101916898540525,0.434782608695652,198,4.30434782608696,1,13,12,0.290226408504308,0.538461538461538,103,-0.153846153846154,9,0
"00-0039738","B.Corum","LA","RB",171,0.0835670735906573,0.502923976608187,865,5.05847953216374,6,14,8,-0.419150959504935,0.285714285714286,36,1.78571428571429,4.625,0
"00-0037256","R.White","TB","RB",133,0.0784116045887612,0.481203007518797,572,4.30075187969925,4,45,40,-0.0402551502208896,0.4,218,-2.26666666666667,8.225,0
"00-0032104","A.Abdullah","IND","RB",14,0.0677130203486221,0.357142857142857,60,4.28571428571429,1,17,16,0.0478675660492359,0.470588235294118,99,-0.176470588235294,6.5625,0
"00-0033923","K.Hunt","KC","RB",163,0.0593216159305407,0.478527607361963,611,3.74846625766871,8,25,18,0.0553907882722339,0.44,143,0,8.5,1
"00-0039040","D.Achane","MIA","RB",238,0.0589867729227096,0.382352941176471,1350,5.67226890756303,8,85,67,-0.120327963075941,0.411764705882353,481,0.411764705882353,8.13432835820896,5
"00-0036223","J.Taylor","IND","RB",324,0.0579371444748356,0.444444444444444,1585,4.89814814814815,18,56,46,0.164893679847022,0.446428571428571,378,-0.818181818181818,9.43478260869565,2
"00-0038611","C.Rodriguez","WAS","RB",112,0.0553349622158359,0.464285714285714,500,4.46428571428571,6,0,0,0,0,0,0,0,0
"00-0035537","Ty.Johnson","BUF","RB",50,0.055264993206365,0.5,200,4,3,33,24,0.346954060238645,0.484848484848485,231,-1.18181818181818,11.2083333333333,2
"00-0036275","D.Swift","CHI","RB",255,0.0488298494123202,0.466666666666667,1217,4.77254901960784,10,48,34,-0.032663545365596,0.375,290,-0.520833333333333,10.2352941176471,1
"00-0036997","J.Williams","DAL","RB",252,0.0484325545162082,0.456349206349206,1201,4.76587301587302,11,51,35,-0.445828806963502,0.254901960784314,137,-1.31372549019608,5.88571428571429,2
"00-0038454","K.Mitchell","BAL","RB",59,0.0443520343145237,0.355932203389831,341,5.77966101694915,1,12,9,-0.460780483364942,0.5,63,-2.33333333333333,9.44444444444444,1
"00-0040466","R.Sanders","CLE","RB",27,0.0333647773713218,0.407407407407407,92,3.40740740740741,1,0,0,0,0,0,0,0,0
"00-0033955","J.McNichols","WAS","RB",45,0.0320537985609741,0.422222222222222,221,4.95555555555556,1,32,25,-0.0357984815301712,0.46875,196,-0.741935483870968,8.88,1
"00-0032764","D.Henry","BAL","RB",307,0.0298572451799113,0.416938110749186,1595,5.19543973941368,16,21,15,-0.136940609929817,0.523809523809524,150,0.571428571428571,9,0
"00-0036158","J.Dobbins","DEN","RB",153,0.0273479530582086,0.457516339869281,772,5.04575163398693,4,14,11,-0.356122234474502,0.285714285714286,37,-2.14285714285714,5.09090909090909,0
"00-0037840","K.Williams","LA","RB",303,0.0264353307198285,0.491749174917492,1435,4.73597359735974,12,50,36,0.170773499709518,0.44,281,2.5,4.30555555555556,3
"00-0039875","R.Davis","BUF","RB",58,0.0232851049352983,0.413793103448276,275,4.74137931034483,0,14,10,0.336182192295391,0.571428571428571,86,0.0769230769230769,9.9,2
"00-0037563","M.Davis","DAL","RB",52,0.0156421604719631,0.403846153846154,250,4.80769230769231,2,0,0,0,0,0,0,0,0
"00-0035685","D.Montgomery","DET","RB",159,0.00296853331667107,0.433962264150943,716,4.51572327044025,8,29,24,0.107928681895963,0.517241379310345,192,0.413793103448276,8.29166666666667,0
"00-0040179","D.Giddens","IND","RB",26,0.000785902926089385,0.423076923076923,96,3.69230769230769,0,0,0,0,0,0,0,0,0
"00-0037248","J.Cook","BUF","RB",348,-0.00238680214135561,0.448275862068966,1784,5.1264367816092,12,40,33,0.216800553994108,0.425,291,1.4,8.24242424242424,2
"00-0033526","S.Perine","CIN","RB",84,-0.00296527963510251,0.547619047619048,382,4.54761904761905,3,21,17,-0.123476875552276,0.428571428571429,87,-1.52380952380952,6.41176470588235,0
"00-0039165","Z.Charbonnet","SEA","RB",190,-0.00612309554113031,0.415789473684211,750,3.95789473684211,12,24,20,0.0280645849317567,0.458333333333333,144,1.66666666666667,6.15,0
"00-0039921","T.Benson","ARI","RB",29,-0.00717992995080003,0.275862068965517,160,5.51724137931035,0,16,13,-0.504583940705638,0.3125,64,-1.375,5.61538461538461,0
"00-0038794","J.McLaughlin","DEN","RB",45,-0.0106951552326791,0.488888888888889,219,4.86666666666667,1,0,0,0,0,0,0,0,0
"00-0039139","J.Gibbs","DET","RB",243,-0.0109754707451682,0.39917695473251,1223,5.03292181069959,13,94,77,0.188835013640975,0.48936170212766,613,0.574468085106383,7.94805194805195,5
"00-0040666","O.Hampton","LAC","RB",125,-0.0118042732412598,0.416,544,4.352,4,35,32,-0.0168986366712488,0.457142857142857,192,-1.54285714285714,7.65625,1
"00-0040734","T.Henderson","NE","RB",210,-0.0130929133425972,0.39047619047619,987,4.7,9,42,35,0.0637849577259343,0.476190476190476,221,-0.0238095238095238,6.97142857142857,1
"00-0036265","A.Dillon","PHI","RB",12,-0.014374472637428,0.416666666666667,60,5,0,0,0,0,0,0,0,0,0
"00-0036139","R.Dowdle","CAR","RB",242,-0.0164356824966309,0.417355371900826,1085,4.48347107438016,6,50,39,-0.0180543831541296,0.38,297,-1.04,8.97435897435897,1
"00-0036919","K.Gainwell","PIT","RB",120,-0.0174962184062072,0.458333333333333,557,4.64166666666667,5,85,73,0.0462661095166845,0.411764705882353,486,-0.2,7.23287671232877,3
"00-0033293","A.Jones","MIN","RB",132,-0.0179903049871864,0.431818181818182,548,4.15151515151515,2,41,28,-0.184164179134207,0.365853658536585,199,-0.609756097560976,8.10714285714286,1
"00-0038597","C.Brown","CIN","RB",233,-0.0182032646266454,0.399141630901288,1019,4.37339055793991,6,89,69,-0.116057117716039,0.426966292134831,414,0.522727272727273,6.18840579710145,6
