"rusher_player_id","rusher_player_name","posteam","rushing_plays","avg_rushing_epa","avg_yards_per_rush","rushing_success_rate","rushing_yards","rushing_touchdowns"
"00-0039075","P.Nacua","LA",16,0.796564704058255,8.0625,0.625,129,2
"00-0039793","A.Barner","SEA",11,0.699402348635803,1.45454545454545,0.909090909090909,16,1
"00-0034753","M.Andrews","BAL",10,0.652073954662774,4.8,0.7,48,1
"00-0034855","B.Mayfield","TB",55,0.649481252227469,6.94545454545455,0.581818181818182,382,1
"00-0037304","Co.Heyward","PIT",15,0.570413413100565,2.86666666666667,0.733333333333333,43,2
"00-0039920","M.Corley","CLE",13,0.562824585210854,9.76923076923077,0.769230769230769,127,0
"00-0033873","P.Mahomes","KC",64,0.455695218248366,6.59375,0.609375,422,5
"00-0035993","T.Huntley","BAL",24,0.451984355352276,6.29166666666667,0.583333333333333,151,0
"00-0040668","S.Sanders","CLE",22,0.444697526691683,7.68181818181818,0.681818181818182,169,1
"00-0040691","J.Dart","NYG",86,0.44330287294103,5.66279069767442,0.616279069767442,487,9
"00-0038976","M.Mims","DEN",12,0.428724420654665,6.5,0.583333333333333,78,1
"00-0034857","J.Allen","BUF",135,0.369851670725318,5.02222222222222,0.585185185185185,678,16
"00-0026158","J.Flacco","CIN",15,0.368567716944874,1.46666666666667,0.533333333333333,22,1
"00-0035710","D.Jones","IND",45,0.359475725978788,3.64444444444444,0.577777777777778,161,5
"00-0037834","B.Purdy","SF",47,0.359409075483625,4.42553191489362,0.553191489361702,208,3
"00-0039917","M.Penix","ATL",21,0.338659048497599,3.33333333333333,0.428571428571429,70,1
"00-0039894","X.Worthy","KC",11,0.32589006769492,7.90909090909091,0.636363636363636,87,0
"00-0034796","L.Jackson","BAL",67,0.307592811807772,5.2089552238806,0.492537313432836,349,2
"00-0039163","C.Stroud","HOU",51,0.29053288995242,4.31372549019608,0.490196078431373,220,2
"00-0039376","S.Rattler","NO",32,0.269996258393352,5.21875,0.6875,167,0
"00-0036264","J.Love","GB",48,0.266598722603612,4.375,0.458333333333333,210,0
"00-0036971","T.Lawrence","JAX",89,0.258151061193858,4.40449438202247,0.561797752808989,390,9
"00-0036442","J.Burrow","CIN",14,0.254656712445597,2.92857142857143,0.5,41,0
"00-0039064","Z.Flowers","BAL",10,0.249965554429218,6.2,0.5,62,1
"00-0040676","C.Ward","TEN",39,0.217802559753329,4.07692307692308,0.538461538461538,159,2
"00-0034827","D.Moore","CHI",17,0.206927021852393,4.82352941176471,0.529411764705882,82,1
"00-0028118","T.Taylor","NYJ",27,0.200490536183496,5.2962962962963,0.481481481481481,143,1
"00-0033119","J.Brissett","ARI",38,0.196389365366683,4.42105263157895,0.578947368421053,168,1
"00-0036355","J.Herbert","LAC",94,0.18666702966484,5.92553191489362,0.585106382978723,555,2
"00-0039923","J.McCarthy","MIN",37,0.183883962861728,4.89189189189189,0.459459459459459,181,4
"00-0036389","J.Hurts","PHI",110,0.172668066298028,3.95454545454545,0.5,435,8
"00-0040667","M.Golden","GB",10,0.16796603409457,4.9,0.5,49,0
NA,NA,"GB",893,0.166439328107257,4.57955865272938,0.522675736961451,NA,30
"00-0039150","B.Young","CAR",57,0.157612890935685,4.21052631578947,0.421052631578947,240,3
"00-0040556","C.Kiner","ARI",12,0.157321925473904,4.83333333333333,0.5,58,0
NA,NA,"LA",1127,0.155469518182567,4.98717948717949,0.559245960502693,NA,56
NA,NA,"DAL",1023,0.155127299089507,4.60203045685279,0.520710059171598,NA,31
"00-0039851","D.Maye","NE",133,0.153396951980892,4.73684210526316,0.481203007518797,628,5
NA,NA,"SEA",982,0.150557059307134,4.73894736842105,0.567901234567901,NA,34
NA,NA,"BUF",950,0.145549600255901,4.5804347826087,0.507970244420829,NA,34
"00-0035228","K.Murray","ARI",29,0.140991302626609,5.96551724137931,0.448275862068966,173,1
