"receiver_player_id","receiver_player_name","posteam","position","targets","receptions","avg_receiving_epa","receiving_success_rate","receiving_yards","avg_air_yards","avg_yac","receiving_touchdowns","rushing_plays","avg_rushing_epa","rushing_success_rate","rushing_yards","avg_yards_per_rush","rushing_touchdowns"
"00-0038996","T.Kraft","GB","TE",44,32,0.889179018875769,0.636363636363636,489,4.56818181818182,10.75,6,0,0,0,0,0,0
"00-0038115","D.Bellinger","NYG","TE",26,19,0.869134065481306,0.730769230769231,286,9.38461538461539,6.94736842105263,2,0,0,0,0,0,0
"00-0031610","D.Waller","MIA","TE",35,24,0.807606714760605,0.6,283,10.5588235294118,3.04166666666667,6,0,0,0,0,0,0
"00-0038933","D.Kincaid","BUF","TE",50,39,0.787768063253648,0.62,571,9.48979591836735,6.64102564102564,5,0,0,0,0,0,0
"00-0040194","J.Hawes","BUF","TE",19,16,0.780697857152278,0.736842105263158,187,7.31578947368421,5.6875,3,0,0,0,0,0,0
"00-0039065","S.LaPorta","DET","TE",49,40,0.743425353321447,0.673469387755102,489,5.6530612244898,6.85,3,0,0,0,0,0,0
"00-0033288","G.Kittle","SF","TE",69,57,0.671305262707301,0.681159420289855,628,6.66666666666667,4.42105263157895,7,0,0,0,0,0,0
"00-0032392","A.Hooper","NE","TE",26,21,0.646068939200352,0.730769230769231,263,9,4.09523809523809,2,0,0,0,0,0,0
"00-0040126","C.Loveland","CHI","TE",83,58,0.572362635137875,0.590361445783133,713,9.09756097560976,4.31034482758621,6,0,0,0,0,0,0
"00-0035249","J.Oliver","MIN","TE",20,15,0.526672455085651,0.6,160,3.36842105263158,6.8,4,0,0,0,0,0,0
"00-0038935","B.Strange","JAX","TE",60,46,0.522745846858953,0.633333333333333,540,6.9,5.3695652173913,3,0,0,0,0,0,0
"00-0037252","G.Dulcich","MIA","TE",34,26,0.515034949748099,0.588235294117647,335,4.6969696969697,7.65384615384615,1,0,0,0,0,0,0
"00-0036628","J.Bates","WAS","TE",16,11,0.487795246754104,0.625,103,3,6.18181818181818,1,0,0,0,0,0,0
"00-0036422","A.Trautman","DEN","TE",23,20,0.469195228641974,0.652173913043478,195,4.60869565217391,5.2,1,0,0,0,0,0,0
