"receiver_player_id","receiver_player_name","posteam","position","targets","receptions","avg_receiving_epa","receiving_success_rate","receiving_yards","avg_air_yards","avg_yac","receiving_touchdowns","rushing_plays","avg_rushing_epa","rushing_success_rate","rushing_yards","avg_yards_per_rush","rushing_touchdowns"
"00-0038359","X.Smith","LA","WR",24,18,0.913955832773354,0.666666666666667,303,16.875,5.94444444444444,0,0,0,0,0,0,0
"00-0039855","J.McMillan","TB","WR",15,12,0.832652085108042,0.666666666666667,178,11.9333333333333,4.91666666666667,0,0,0,0,0,0,0
"00-0035645","G.Olszewski","NYG","WR",13,10,0.816145421562469,0.769230769230769,145,10,7.4,1,0,0,0,0,0,0
"00-0038608","K.Boutte","NE","WR",46,33,0.801311764699714,0.717391304347826,551,16.9782608695652,1.15151515151515,6,0,0,0,0,0,0
"00-0038104","T.Thornton","KC","WR",37,19,0.709408994940867,0.486486486486487,438,26.8918918918919,3.10526315789474,3,0,0,0,0,0,0
"00-0039075","P.Nacua","LA","WR",166,129,0.696990413572364,0.704819277108434,1715,9.43373493975904,5.16279069767442,11,16,0.796564704058255,0.625,129,8.0625,2
"00-0031588","S.Diggs","NE","WR",102,85,0.689905626359074,0.676470588235294,1013,8.53921568627451,4.16470588235294,4,0,0,0,0,0,0
"00-0040277","J.Walker","CHI","WR",10,6,0.685354032035684,0.6,87,13,1.33333333333333,2,0,0,0,0,0,0
"00-0033040","T.Hill","MIA","WR",29,21,0.683951552094217,0.655172413793103,265,13.7586206896552,2.71428571428571,1,0,0,0,0,0,0
"00-0037664","A.Pierce","IND","WR",84,47,0.664037060219474,0.535714285714286,1003,18.9642857142857,3.70212765957447,6,0,0,0,0,0,0
"00-0040669","I.TeSlaa","DET","WR",27,16,0.660412331139636,0.555555555555556,239,13.037037037037,3.4375,6,0,0,0,0,0,0
"00-0037247","G.Pickens","DAL","WR",137,93,0.640070885256234,0.635036496350365,1429,11.2919708029197,5.1505376344086,9,0,0,0,0,0,0
"00-0038621","D.Douglas","NE","WR",46,31,0.611788094478193,0.565217391304348,447,9.67391304347826,6.90322580645161,3,0,0,0,0,0,0
"00-0036427","T.Johnson","NYJ","WR",18,12,0.587726527790549,0.444444444444444,197,11.6666666666667,5.33333333333333,1,0,0,0,0,0,0
"00-0038124","C.Watson","GB","WR",55,35,0.586778799610252,0.618181818181818,611,17.7636363636364,3.37142857142857,6,0,0,0,0,0,0
"00-0035021","A.Dulin","IND","WR",10,5,0.575945951923495,0.4,106,15.8,10.6,0,0,0,0,0,0,0
"00-0036196","G.Davis","BUF","WR",18,12,0.573952943985609,0.611111111111111,129,8.83333333333333,2.5,1,0,0,0,0,0,0
"00-0031236","B.Cooks","BUF","WR",11,5,0.56436274560507,0.454545454545455,114,25.9090909090909,1.2,0,0,0,0,0,0,0
